番組	回	タイトル	再生	配信日	再生時間(分)	再生回数
heldio	1605	#1605. まさにゃん＆川上の素朴な疑問に答えよう --- 「英語史ライヴ2025」にて have to と must の違いを徹底討論	<a href='https://voicy.jp/channel/1950/7075263'>play link</a>	2025/10/21	51	126
heldio	1604	#1604. 川上さんの「英語のなぜ5分版」やってます通信 --- 第22弾	<a href='https://voicy.jp/channel/1950/7185770'>play link</a>	2025/10/20	24	253
heldio	1603	#1603. 「英語学」って何？ --- 「いのほたなぜ」のプロローグより	<a href='https://voicy.jp/channel/1950/7189457'>play link</a>	2025/10/19	19	343
helwa	356	【英語史の輪 #356】hel活ポータルを準備中	<a href='https://voicy.jp/channel/1950/7192830'>play link</a>	2025/10/18	19	34
heldio	1602	#1602. 10月25日の朝カル講座は I --- 1人称単数代名詞に注目	<a href='https://voicy.jp/channel/1950/7188849'>play link</a>	2025/10/18	16	340
heldio	1601	#1601. 英仏語のアルコール漬けの語源的綴字 --- 「英語史ライヴ2025」より camin さん，寺澤志帆さん，川上さんのラリー	<a href='https://voicy.jp/channel/1950/7173298'>play link</a>	2025/10/17	20	447
helwa	355	【英語史の輪 #355】学術論文とは何か？ --- クライストチャーチの植物園から語る	<a href='https://voicy.jp/channel/1950/7187840'>play link</a>	2025/10/16	21	45
heldio	1600	#1600. 「いのほたなぜ」の特設HPをオープンしました	<a href='https://voicy.jp/channel/1950/7172967'>play link</a>	2025/10/16	16	401
heldio	1599	#1599. 「いのほたなぜ」本日発売	<a href='https://voicy.jp/channel/1950/7172965'>play link</a>	2025/10/15	20	389
helwa	354	【英語史の輪 #354】「いのほたなぜ」発売前夜の helwa	<a href='https://voicy.jp/channel/1950/7172464'>play link</a>	2025/10/14	21	52
heldio	1598	#1598. khelf 寺澤志帆さんと allay を語る --- 「『英語語源辞典』でたどる英語綴字史」より	<a href='https://voicy.jp/channel/1950/7150591'>play link</a>	2025/10/14	18	363
heldio	1597	#1597. khelf 疋田海夢さんによる英語史の名著 Growth and Structure を読む連載がスタート	<a href='https://voicy.jp/channel/1950/7152847'>play link</a>	2025/10/13	16	380
